layer,input_index,output_index,weight
fc1.weight,0,0,-7022
fc1.weight,1,0,-5280
fc1.weight,2,0,696
fc1.weight,3,0,1029
fc1.weight,4,0,177
fc1.weight,5,0,636
fc1.weight,0,1,2857
fc1.weight,1,1,-228
fc1.weight,2,1,10
fc1.weight,3,1,-951
fc1.weight,4,1,40
fc1.weight,5,1,-445
fc1.weight,0,2,407
fc1.weight,1,2,1960
fc1.weight,2,2,-637
fc1.weight,3,2,-78
fc1.weight,4,2,-774
fc1.weight,5,2,358
fc1.weight,0,3,379
fc1.weight,1,3,4383
fc1.weight,2,3,-2164
fc1.weight,3,3,-221
fc1.weight,4,3,-531
fc1.weight,5,3,-2944
fc1.weight,0,4,0
fc1.weight,1,4,0
fc1.weight,2,4,0
fc1.weight,3,4,0
fc1.weight,4,4,0
fc1.weight,5,4,0
fc1.weight,0,5,1635
fc1.weight,1,5,-787
fc1.weight,2,5,240
fc1.weight,3,5,-8
fc1.weight,4,5,246
fc1.weight,5,5,180
fc1.weight,0,6,3390
fc1.weight,1,6,-3781
fc1.weight,2,6,164
fc1.weight,3,6,316
fc1.weight,4,6,444
fc1.weight,5,6,-1108
fc1.weight,0,7,-374
fc1.weight,1,7,3602
fc1.weight,2,7,-1936
fc1.weight,3,7,-253
fc1.weight,4,7,-634
fc1.weight,5,7,-78
fc1.weight,0,8,-650
fc1.weight,1,8,-2898
fc1.weight,2,8,821
fc1.weight,3,8,1322
fc1.weight,4,8,47
fc1.weight,5,8,415
fc1.weight,0,9,2326
fc1.weight,1,9,-2325
fc1.weight,2,9,-494
fc1.weight,3,9,-400
fc1.weight,4,9,-22
fc1.weight,5,9,-340
fc1.weight,0,10,741
fc1.weight,1,10,4270
fc1.weight,2,10,-279
fc1.weight,3,10,-418
fc1.weight,4,10,-993
fc1.weight,5,10,668
fc1.weight,0,11,-1714
fc1.weight,1,11,15
fc1.weight,2,11,8357
fc1.weight,3,11,583
fc1.weight,4,11,-584
fc1.weight,5,11,1025
fc1.weight,0,12,3829
fc1.weight,1,12,-7459
fc1.weight,2,12,1027
